Unnamed: 0,Unnamed: 0.1,city,price,water-availability,status-of-electricity,furnishing,bedrooms,bathrooms,status,neighborhood,roads,safety,cleanliness,public-transport,parking,connectivity,traffic,school,restaurants,hospital,market,locality-rating,verified_id,capacity,towers,units,Retirees,Family,Couple,SingleProfessionals,Students
0,0,Mumbai,13100000,1.0,2.0,1.0,4,4,0,4,4,4,4,4,4,4,3,4,4,4,4,45,1,4,6,1000,1,1,1,0,0
1,1,Mumbai,18700000,0.0,0.0,0.0,4,4,0,4,4,4,4,4,4,4,3,4,4,4,4,45,1,4,0,144,1,1,1,0,0
2,4,Mumbai,17500000,2.0,0.0,0.0,3,4,0,4,4,4,3,4,3,4,3,4,3,4,4,41,1,5,4,416,1,1,1,0,0
3,3,Mumbai,18900000,0.0,1.0,0.0,4,4,0,4,4,4,4,4,4,4,3,4,4,4,4,46,1,4,1,51,1,1,1,0,0
4,4,Mumbai,14900000,1.0,2.0,0.0,4,4,0,4,4,4,4,4,4,4,3,4,4,4,4,44,1,4,4,414,1,1,1,0,0
5,5,Mumbai,49700000,0.0,1.0,0.0,4,4,0,4,4,5,3,4,3,4,3,4,5,4,5,48,1,5,3,176,0,1,1,1,0
6,6,Mumbai,1000000,2.0,0.0,0.0,1,4,0,4,4,4,4,4,4,4,3,4,4,4,4,44,1,5,1,54,1,1,1,0,0
7,7,Mumbai,15000000,2.0,0.0,0.0,3,3,0,4,4,4,4,5,4,5,4,4,4,4,5,5,1,4,3,554,1,1,1,0,0
8,8,Mumbai,9990000,1.0,2.0,0.0,1,1,0,4,4,4,4,4,4,4,3,4,4,4,4,45,1,4,3,0,1,1,1,0,0
9,9,Mumbai,10100000,1.0,2.0,1.0,1,4,0,4,4,4,4,4,4,4,3,4,4,4,4,44,1,4,3,170,1,1,1,0,0
10,10,Mumbai,15100000,2.0,0.0,0.0,4,4,0,4,4,4,4,4,3,4,3,4,4,4,4,46,1,4,4,360,1,1,1,0,0
11,11,Mumbai,43500000,2.0,0.0,0.0,4,4,0,4,4,4,4,4,3,4,3,4,4,4,4,46,1,4,3,0,1,1,1,0,0
12,14,Mumbai,17100000,1.0,2.0,0.0,4,4,0,4,4,4,4,4,4,4,3,4,3,4,4,43,1,4,3,94,1,1,1,0,0
13,13,Mumbai,99600000,1.0,2.0,0.0,4,3,0,4,4,4,4,4,4,4,3,4,4,4,4,46,1,4,3,0,1,1,1,0,0
