city,name,developer,rera-id,price,water-availability,status-of-electricity,lift,furnishing,bedrooms,bathrooms,status,configuration,tower-and-unit-details,recommended-for,neighborhood,roads,safety,cleanliness,public-transport,parking,connectivity,traffic,school,restaurants,hospital,market,locality-rating
Mumbai,71Midtown,ParadigmRealty&DotomRealty,P51800028761,1.31Cr,24HoursAvailable,No/RarePowercut,2,Unfurnished,2,2,UnderConstruction,"1,2BHKFlat","6Towers,1000Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Mumbai,SanduSanskar,SanduDevelopers,NA,1.87Cr,EastTalktoourbestVastuConsultantstogetinstantsolution.ViewConsultants,P51800006033(TheprojecthasbeenregisteredviaMahaRERAregistrationnumber:P51800006033andisavailableonthewebsitehttps://maharera.mahaonline.gov.inunderregisteredprojects.),"Pool,Garden/Park,MainRoad","Mosaic,Vitrified,Wooden,CeramicTiles,Marble,NormalTiles/KotahStone,Granite,Marbonite",2SeeDimensionsBedroom112X10ftBedroom212X10ft,2,UnderConstruction,"1,2,3BHKFlat",122Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Mumbai,SaffronResidency,AyodhyaConstructionsCo.,P51800007485,1.75Cr,No/RarePowercut,3,Unfurnished,,3,2,UnderConstruction,"1,2,3BHKFlat","2Towers,216Units","Retirees,,Family,,Couple,,",4,4,4,3,4,3,4,3,4,3,4,4,4.1
Mumbai,RomellVasanthi,RomellGroup,P51800022238,1.89Cr,1Covered,24HoursAvailable,No/RarePowercut,2,2,2,UnderConstruction,2BHKFlat,"1Tower,51Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Mumbai,NorthernHills,NRoseDevelopersPvt.Ltd.,P51800020350,1.29Cr,24HoursAvailable,No/RarePowercut,Unfurnished,61,2,2,UnderConstruction,"2,3BHKFlat","2Towers,412Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.4
Mumbai,GreenstoneHeritage,ApliteGroup,P51900002372,2.97Cr,1Covered,24HoursAvailable,No/RarePowercut,2,2,2,UnderConstruction,"1,2BHKFlat","3Towers,176Units","Family,,Couple,,SingleProfessionals,,",4,4,5,3,4,3,4,3,4,5,4,5,4.8
Mumbai,ShreeSatyam,JE&VEEInfrastructure,P51800029730,1.0Cr,No/RarePowercut,2,Unfurnished,,1,2,UnderConstruction,"1,2BHKFlat","1Tower,54Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.4
Mumbai,NorthBarcelona,JPInfra,P51700020082,1.50Cr,No/RarePowercut,2,Unfurnished,,3,3,UnderConstruction,"1,2,3BHKFlat","3Towers,552Units","Retirees,,Family,,Couple,,",4,4,4,4,5,4,5,4,4,4,4,5,5
Mumbai,AmaryllisTowersandPlaza,NaharGroup,P51800028801,99.9Lac,24HoursAvailable,No/RarePowercut,Unfurnished,18,1,1,UnderConstruction,"1,2,3BHKFlat",3Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Mumbai,DeltaHouse,RightChannelConstructionPvt.Ltd.,P51800003828,1.01Cr,24HoursAvailable,No/RarePowercut,2,Unfurnished,1SeeDimensionBedroom19.6X10ft,2,UnderConstruction,"1,2BHKFlat","3Towers,170Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.4
Mumbai,PiramalRevanta,PiramalRealty,P51800031310,1.51Cr,No/RarePowercut,2,Unfurnished,,2,2,UnderConstruction,"1,2,3,4,5BHKFlat|StudioApartment","4Towers,360Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.6
Mumbai,ShethMontana,AshwinShethGroupandEmamiGroup,P51800000735,4.35Cr,No/RarePowercut,Unfurnished,45,,4,4,UnderConstruction,"2,3,4BHKFlat|3BHKResidentialHouse",3Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.6
Mumbai,AvantHeritage2,AvantGroup,P51800015537,1.71Cr,24HoursAvailable,No/RarePowercut,Unfurnished,23,2,2,UnderConstruction,"1,2,3,4BHKFlat","3Towers,94Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,3,4,4,4.3
Mumbai,BirlaNiyaara,BirlaEstates,P51900031916,9.96Cr,24HoursAvailable,No/RarePowercut,Unfurnished,65,4,3,UnderConstruction,"2,3,4BHKFlat",3Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Mumbai,PasscodeMiracleBay,PresconGroup,P51900030390,2.25Cr,No/RarePowercut,2,Semi-Furnished,,2,2,UnderConstruction,"1,2,3,4BHKFlat","1Tower,410Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.5
Mumbai,SahakarAvenue,SahakarCorporationBuilders&Developers,P51800003995,2.14Cr,24HoursAvailable,No/RarePowercut,2,Unfurnished,2SeeDimensionBedroom110.6X12ft,2,UnderConstruction,2BHKFlat,"1Tower,92Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.5
Mumbai,MehtaPremeire,MehtaGroupOfEnterprises,NA,3.76Cr,24HoursAvailable,No/RarePowercut,2,Semi-Furnished,3SeeDimensionsBedroom113.7X11.2ftBedroom29.1X12.6ftBedroom312.11X9.1ft,3,UnderConstruction,"1,2,3BHKFlat","1Tower,22Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.6
Mumbai,SanghviEvana,SanghviRealty,P51900007455,5.70Cr,24HoursAvailable,No/RarePowercut,Unfurnished,23,3,4,ReadytoMove,"CommercialOfficeSpace|1,2,3BHKFlat","1Tower,33Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Mumbai,TriumphTower,TriumphBuildersLLP,P51800027364,2.20Cr,24HoursAvailable,No/RarePowercut,4,Unfurnished,2,2,UnderConstruction,"2,3BHKFlat","2Towers,160Units","Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.5
Mumbai,TheResidency,LakandHanwareRealtyLLP,P51800004331,1.90Cr,18,,,GrandEntrancelobbySolarEnergyJoggingandStrollingTrackRainWaterHarvestingParkGymnasiumSecurityPipedGasKidsPlayAreaLiftFireFightingEquipmentVaastuCompliantViewallAmenities,2,2,UnderConstruction,"1,2BHKFlat","1Tower,120Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Mumbai,AayushAarna,AayushGroup,P51800027442,1.65Cr,No/RarePowercut,2,Semi-Furnished,,2,2,UnderConstruction,"1,2BHKFlat","1Tower,25Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Mumbai,DostiEasternBay,DOSTIREALTY,NA,2.06Cr,24HoursAvailable,No/RarePowercut,2,Unfurnished,2,2,UnderConstruction,"2,3,4BHKFlat","2Towers,1200Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,3,3,4,4.4
Mumbai,BirlaNiyaara,BirlaEstates,NA,10.24Cr,24HoursAvailable,No/RarePowercut,4,Semi-Furnished,4,5,UnderConstruction,"2,3,4BHKFlat",3Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Mumbai,RunwalSanctuary,RunwalDevelopers,P51800025926,2.19Cr,24HoursAvailable,No/RarePowercut,4,Furnished,3,3,UnderConstruction,"2,3,4,5BHKFlat",5Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,3,4,3,4,4,4,4,4.6
Mumbai,BirlaNiyaara,BirlaEstates,NA,5.53Cr,Vitrified,24HoursAvailable,No/RarePowercut,Unfurnished,3,3,UnderConstruction,"2,3,4BHKFlat",3Towers,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Mumbai,WindsorGrandeResidences,WindsorRealty,Vitrified,24.0Cr,No/RarePowercut,4,Furnished,33,5SeeDimensionsBedroom112.6X14.9ftBedroom212.6X14.9ftBedroom312.8X13.9ftBedroom413.1X17ft,5,ReadytoMove,"3,4,5BHKFlat|5,6BHKPenthouse","2Towers,200Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Bangalore,SaiGangothriHillCrest,SairamDwellingsPvt.Ltd.,PRM/KA/RERA/1251/310/PR/191025/002960,46.1Lac,1Open,24HoursAvailable,No/RarePowercut,3,2SeeDimensionBedroom111.02X11.04ft,2,UnderConstruction,"1,2,3BHKFlat","1Tower,168Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,3,4,4,4.2
Bangalore,CandeurSignature,CandeurConstructions,PRM/KA/RERA/1251/446/PR/200121/003217,76.0Lac,24HoursAvailable,No/RarePowercut,3,Unfurnished,2,2,UnderConstruction,"1,2,3BHKFlat","7Towers,1232Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,3,4,4,4.4
Bangalore,LifeByTheLake,KeyaHomes,NA,4.42Cr,"Wooden,Marble",24HoursAvailable,No/RarePowercut,1,5,5,ReadytoMove,4BHKFlat|4BHKVilla|5BHKPenthouse,50Units,"Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,3,4,3,4,4,4.2
Bangalore,MedaGreens,MedaGroup,NA,79.2Lac,Vitrified,24HoursAvailable,No/RarePowercut,2,3SeeDimensionsBedroom113X10ftBedroom213X10ftBedroom313X10ft,2,UnderConstruction,"2,3BHKFlat","3Towers,271Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Bangalore,MantriSerenity,MantriDevelopersPvt.Ltd.,Vitrified,1.04Cr,No/RarePowercut,3,Unfurnished,28,2SeeDimensionsBedroom114.2X12.6ftBedroom213.5X11.1ft,2,ReadytoMove,"2,3BHKFlat","6Towers,2700Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,3,4,4.4
Bangalore,HMTropicalTree,HMConstructions,NA,4.80Cr,24HoursAvailable,No/RarePowercut,3,Unfurnished,4,4,ReadytoMove,"3,4BHKFlat","2Towers,80Units","Retirees,,Family,,Couple,,",4,3,4,4,4,3,4,3,4,4,4,4,4.4
Bangalore,BhuviByAmsha,AmshaVentures,NA,1.11Cr,"Vitrified,Marble",24HoursAvailable,No/RarePowercut,2,2,2,ReadytoMove,"2,3BHKFlat","8Towers,232Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.7
Bangalore,BollineniAstra,BSCPLInfrastructureLtd,PRM/KA/RERA/1251/309/PR/190614/002619,96.8Lac,24HoursAvailable,No/RarePowercut,3,Unfurnished,3SeeDimensionBedroom114X12ft,3,UnderConstruction,"2,3,4BHKFlat","2Towers,199Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,3,4,3,4,4,4.2
Bangalore,GRSamskruthi,G.R.Constructions,PRM/KA/RERA/1251/308/PR/201215/003745,50.8Lac,None,24HoursAvailable,No/RarePowercut,4,2,2,UnderConstruction,"2,3BHKFlat","8Towers,414Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,3,3,4.3
Bangalore,DSMAXSahara,DSMAXPropertiesPvt.Ltd.,PRM/KA/RERA/1251/308/PR/201201/003733,39.0Lac,1Covered,24HoursAvailable,No/RarePowercut,4,3,2,UnderConstruction,"2,3BHKFlat","4Towers,470Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Bangalore,PridePegasus,PrideandExpertPropertiesPrivateLimited,Vitrified,75.0Lac,No/RarePowercut,Unfurnished,13,,2SeeDimensionBedroom111.2X12.4ft,2,UnderConstruction,"2,3BHKFlat","2Towers,208Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Bangalore,ArvindBelAir,ArvindSmartSpacesLtd,PRM/KA/RERA/1251/472/PR/200515/003406,95.0Lac,24HoursAvailable,No/RarePowercut,2,Unfurnished,3,3,UnderConstruction,"2,3BHKFlat","4Towers,334Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,4.5
Bangalore,ConcordeAbode99,TheConcordeGroup,PRM/KA/RERA/1251/310/PR/210302/003983,1.84Cr,No/RarePowercut,Unfurnished,,,4SeeDimensionsBedroom111X12ftBedroom210X11ftBedroom311X11ft,3,UnderConstruction,4BHKVilla,159Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.3
Bangalore,ColumbiaAaltius,ColumbiaGroup,PRM/KA/RERA/1251/308/PR/190330/002510,94.6Lac,24HoursAvailable,No/RarePowercut,2,Unfurnished,2,3,UnderConstruction,"1,2,3,4BHKFlat","1Tower,165Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,4.6
Bangalore,Tulip,BrightWaveProjectsPvt.Ltd.,PRM/KA/RERA/1251/308/PR/200323/003378,33.0Lac,24HoursAvailable,No/RarePowercut,4,Unfurnished,2SeeDimensionBedroom110X11ft,2,UnderConstruction,"1,2,3BHKFlat","3Towers,224Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,3,4,4,4.4
Bangalore,AparnaMaple,AparnaConstructionsandEstatesPvt.Ltd.,PRM/KA/RERA/1251/446/PR/190724/002724,98.0Lac,24HoursAvailable,No/RarePowercut,2,Unfurnished,3,2,ReadytoMove,"2,3BHKFlat","2Towers,246Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Bangalore,RajaRitzAvenue,RajaHousingLtd.,NA,93.0Lac,Vitrified,24HoursAvailable,No/RarePowercut,2,3,3,ReadytoMove,"1,2,3BHKFlat","9Towers,430Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.4
Bangalore,RenaissanceReserva,RenaissanceHoldings&DevelopersPvt.Ltd.,PRM/KA/RERA/1251/309/PR/190614/002602,91.1Lac,24HoursAvailable,No/RarePowercut,2,Unfurnished,2SeeDimensionsBedroom112X12ftBedroom212X12ft,2,UnderConstruction,"2,3BHKFlat","5Towers,214Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Bangalore,RJLakeGardenia,RJRishikaranProjectsPrivateLimited,NA,1.61Cr,Vitrified,24HoursAvailable,No/RarePowercut,3,3SeeDimensionsBedroom115X13ftBedroom212.3X13.6ftBedroom313.6X11ftBedroom411.9X13.6ft,3,UnderConstruction,"3,4BHKFlat|4BHKVilla","2Towers,171Units","Retirees,,Family,,Couple,,",4,3,4,4,4,4,4,3,4,3,4,4,4.3
Bangalore,TGAscent,TGDevelopers,NA,78.5Lac,Unfurnished,12,,BarbequePitJoggingandStrollingTrackMeditationAreaSwimmingPoolIndoorGamesRoomGymnasiumKidsPlayAreaIndoorSquash&BadmintonCourtsClubHouseViewallAmenities,3,3,ReadytoMove,"2,3BHKFlat","4Towers,297Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.5
Bangalore,TerraAlegria,M1Homes,NA,1.38Cr,"Vitrified,Wooden,CeramicTiles,Granite",24HoursAvailable,No/RarePowercut,Semi-Furnished,3SeeDimensionsBedroom114X11ftBedroom214X11ftBedroom314X11ft,3,ReadytoMove,3BHKVilla,103Units,"Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,3,4,4,4,4,4.6
Bangalore,EpitomeElan,EpitomeBuildersPvtLtd,PRM/KA/RERA/1251/310/PR/190123/002297,1.20Cr,24HoursAvailable,No/RarePowercut,2,Semi-Furnished,3SeeDimensionBedroom111.2X11.06ft,2,UnderConstruction,"2,3BHKFlat","4Towers,196Units","Retirees,,Family,,Couple,,",4,4,4,4,4,4,4,4,4,4,4,4,4.5
Bangalore,SMRVinayEstella,SMRHoldings,NA,65.0Lac,"Vitrified,CeramicTiles,Marble,Granite",24HoursAvailable,No/RarePowercut,2,2SeeDimensionsBedroom116X11ftBedroom216X11ft,2,ReadytoMove,"2,3BHKFlat","3Towers,313Units","Retirees,,Family,,Couple,,",4,4,4,4,3,4,4,4,4,3,4,3,4.2
